station,load
RETHORAKALAN   ,2
NALBARI        ,6
LADDA          ,2
PAHARPUR       ,12
DARYABAD       ,19
MAJBAT         ,2
PANBARI        ,2
GOSHAINGANJ    ,21
BYADARAHALLI   ,4
JAKHANIAN      ,11
MURSHIDABAD    ,10
SANKARIDURG    ,6
ALAMNAGAR      ,14
KUMAR SADRA    ,2
KUDAL          ,22
YADGIR         ,48
RAGHUNATHPALLI ,6
PITAMBARPUR    ,16
URMA           ,2
TALGUPPA       ,6
MANANPUR       ,21
SAIDRAJA       ,8
VADAKARA       ,50
PUNPUN         ,5
BIJWASAN       ,1
DOSVADA        ,3
TOHANA         ,23
PIRPAINTI      ,18
CHINTALPALLI   ,2
SNARAYAN CHAPIA,2
UDAIPUR CITY   ,27
ANUPPUR JN     ,61
VAPI           ,132
LOTARVA        ,4
RATANGARH JN   ,16
GHATAMPUR      ,5
YEOLA          ,10
KOLARAS        ,5
MANNARGUDI     ,8
BETNOTI        ,2
NAMBURU        ,8
VAMBORI        ,6
PARDI          ,9
AMBAGAON       ,2
CHANDAUSI JN   ,28
N. PANAKUDI    ,2
CHAND SIAU     ,7
BHADOHI        ,37
AJAKOLLU       ,1
ELLAMANCHILI   ,30
UDHAMPUR       ,27
TATISILWAI     ,6
SATHIAON       ,6
BAMUR          ,2
SONADA         ,6
TATICHERLA     ,4
ITOLA          ,6
BISHRAMPUR     ,6
ALNAVAR JN     ,22
ATARRA         ,19
KHARSIA        ,20
MANKI          ,2
NIMPURA        ,21
UMARIA         ,38
THIPPARTHI     ,2
TADAKALPUDI    ,4
PANRUTI        ,4
PAMBAN JN      ,2
PERNEM         ,10
BALAPALLE      ,2
KANCHRAPARA    ,4
TUMMALACHERUVU ,2
KOTSHILA       ,10
KOSLI          ,2
BANGALORE CANT ,70
MOGA           ,4
SAMUKTALA ROAD ,2
SURENDRANAGAR  ,78
THONDEBHAVI    ,2
HARDOI         ,74
NAKACHARI      ,4
KILA RAIPUR    ,9
KOTHAR         ,3
BURHWAL        ,12
BAPUDM MOTIHARI,20
BARMER         ,10
AMBIKAPUR      ,6
NANGAL DAM     ,12
RAJIYASAR      ,4
DANGARWA       ,2
SILIARI        ,6
KANKATHER      ,1
DHUBRI         ,4
PMBAKVL SHANDY ,2
JUGIJAN        ,2
SHOGHI         ,5
GAURI BAZAR    ,13
GANGAJHARI     ,2
CHANDRAPUR     ,70
SALI           ,2
SHIMOGA TOWN   ,10
SOMIDEVIPALLE  ,6
MANGROLLA      ,4
THALWARA       ,2
POODOOR        ,1
COSSIMBAZAR    ,6
GOKARNA ROAD   ,10
MULKI          ,10
SAYAN          ,8
BURHAR         ,23
SATUNA         ,6
ARAKKONAM      ,110
AHMADPUR JN    ,23
AITHAL         ,8
MECHERI ROAD   ,2
HIRA NAGAR     ,13
KANPUR CENTRAL ,283
MALHOUR        ,1
GAMBHIRI ROAD  ,2
KARIMUDDIN PUR ,1
JAGADHRI       ,63
MHMDVD KHEDA RD,26
PUSAULI        ,3
PATELNAGAR     ,3
BHAKTI NAGAR   ,14
LUSA           ,7
DEROWAN P. H.  ,4
KAREPUR        ,4
MIRCHADHORI    ,4
NAMTIALI       ,6
MAVLI JN       ,29
DEVANGONTHI    ,3
NADWAN         ,2
JUNAGADH JN    ,14
DAHANU ROAD    ,37
LAKHTAR        ,7
TILONIYA       ,6
AMDARA         ,8
MCCLUSKIEGANJ  ,4
DHUPGURI       ,33
DOIWALA        ,10
CHATRAPUR      ,39
ETTUMANUR      ,4
LADHOWAL       ,1
COIMBATORE JN  ,124
BAIHATOLA      ,12
SAKTESGARH     ,5
NISUI          ,3
JAMUNIA KALAN  ,1
GUWAHATI       ,86
