station,load
BESROLI        ,2
DIMAPUR        ,43
NOWROZABAD     ,13
HATHIDAH UPPER ,8
MAHPUR         ,2
RUPNAGAR       ,12
AJNI           ,17
NIMBAHERA      ,12
BARSOLA        ,3
KALAPIPAL      ,19
DEHRI ON SONE  ,65
SHIVNAGAR      ,1
MALEGAON VYENKU,2
TORANG         ,2
BAGHORA        ,3
NADAUJ         ,2
PANDHARPUR     ,16
PARPANANGADI   ,32
PALI MARWAR    ,39
DISA           ,8
CHITYALA       ,7
CHANPATIA      ,4
KANSRAO        ,2
DALAUDA        ,5
AMMASANDRA     ,6
DAKHINESWAR    ,14
DIBRUGARH      ,26
BERHAMPORE CRT ,10
CHIMALPAHAD    ,4
JANJGIR NAILA  ,19
JUKEHI         ,13
SORO           ,18
RUDAULI        ,26
DHANAURI       ,4
MORTHALA       ,2
BALIAKHERI     ,2
BARSALI        ,2
BODWAD         ,12
AMBODALA       ,20
NARSIPATNAM RD ,16
BIRNAGAR       ,4
MANSA          ,14
USALAPUR       ,23
MORDAD TANDA   ,2
GARWA ROAD     ,33
IGATPURI       ,105
BHOKAR         ,4
RATANPURA      ,4
CHORVAD ROAD   ,4
TARANA ROAD    ,15
NAMKON         ,8
JALALPUR DHAI  ,2
BEGAMPET       ,36
JETALSAR JN    ,12
KOLKATA        ,63
DIVITI PALLI   ,1
MAJHOWLIA      ,2
DHANSU         ,2
NAKODAR JN     ,2
SARAI MIR      ,13
BARKHERA       ,2
AGORI KHAS     ,5
MASUDAN        ,4
TAPA           ,16
SHIVAJINAGAR   ,22
BANDEL JN      ,90
THAKURGANJ     ,4
ARARIYA COURT  ,4
HUBLI JN       ,84
TAREGNA        ,14
IRAVIPURAM     ,2
AKSHAYWAT R NGR,4
DUVVADA        ,97
TIRUR          ,70
MIRAJ JN       ,63
NIPANI VADGAON ,6
PALSORA MAKRAWA,3
POTKAPALLI     ,2
CHITALI        ,6
JAKHIM         ,8
SOMTANE        ,4
LALGARH JN     ,20
SUISA          ,2
CHANDUR        ,16
GAURIGANJ      ,28
NAGIREDDIPALLI ,4
NEW MISAMARI   ,2
PILAMEDU       ,2
SUBZI MANDI    ,36
MIRKHAL        ,7
MARRIPALEM PH  ,10
MAVAL          ,2
RAM NAGAR J K  ,2
MYSORE JN      ,52
SILGHAT TOWN   ,2
ANGADIPPURAM   ,2
AMLAI          ,19
JGMBLA KSHNPRM ,6
RAJKOT JN      ,79
VIJAY PUR      ,4
BAMNIA         ,12
MARIANI JN     ,39
OMALUR         ,6
BHANVAD        ,6
SINGARAM       ,2
BHADRAK        ,109
BALA ROAD      ,2
GARHMUKTESAR   ,15
JAMUNAMUKH     ,4
OKHLA          ,9
TITABAR        ,6
SLEEMANABAD RD ,6
DAPPAR         ,3
ZAWAR          ,2
JAITWAR        ,14
BAGRI SAJJANPUR,2
ASHOK NAGAR    ,28
NILAJE         ,4
CHIRAYINKIL    ,22
GARHBETA       ,12
LOTAPAHAR      ,4
PATRANGA       ,2
SAHIBGANJ JN   ,30
MANSI JN       ,31
MANDOR         ,3
KENDUKANA      ,3
DINDIGUL JN    ,74
HINGANGHAT     ,34
BALAMU JN      ,29
PANGAON        ,10
AHIRAN         ,2
DORNAKAL JN    ,32
GURDASPUR      ,9
NAGBHIR JN     ,4
SHIVANARAYANPUR,6
MANKATHA       ,11
MANDYA         ,38
PAGARA         ,2
VANIYAMBADI    ,22
GORAKHPUR CANT ,7
DAURAM MADHPURA,2
RANGTONG       ,1
SAINAGAR SHIRDI,22
BHADLI         ,6
FARRUKHABAD    ,26
DUMRI BIHAR    ,1
KUNDGOL        ,2
BHIWANI        ,16
BELAKOBA       ,5
MUNDALARAM     ,1
GOKAK ROAD     ,4
BAYTU          ,8
IRUGUR         ,2
NANDYAL        ,20
DHARHARA       ,20
SADULPUR JN    ,17
KHAGARIA JN    ,60
BIHTA          ,24
KHEMLI         ,2
NAWAN          ,2
DANTAN         ,2
MUKERIAN       ,25
RAMSAGAR       ,4
KATPADI JN     ,177
DIYODAR        ,4
HOJAI          ,31
NIPHAD         ,11
ROSHANPUR      ,2
UJIARPUR       ,5
HARRAD         ,12
PADHEGAON      ,6
SABARMATI JN   ,54
KARJODA        ,2
KALMITAR       ,8
HATHRAS JN     ,25
DURG           ,127
GOVINDPURI     ,14
JUGPURA        ,2
TIRUNELVELI    ,50
MANYAMKONDA    ,1
KOSI KALAN     ,25
BRAYLA CHAURASI,2
GANJAM         ,8
YELIYUR        ,4
KHANAPUR       ,6
SANTRAGACHI JN ,86
VATLUR         ,4
BARARA         ,11
SAWAI MADHOPUR ,127
VIRUDUNAGAR JN ,58
MONDH          ,7
BHADANPUR      ,2
UKHALI         ,4
TALCHHAPAR     ,2
DAMANJODI      ,6
FALNA          ,77
KOTTAVALASA    ,17
JAGRAON        ,4
ASAOTI         ,5
MOHAMMADKHERA  ,3
BHARWARI       ,9
MANGALIYAWAS   ,2
DUROJI         ,6
AJJAMPUR       ,3
NARKHER        ,29
BHIMAVARAM JN  ,8
BHAKARAPET     ,2
KANDRORI       ,1
KURUMBUR       ,2
UDHNA JN       ,38
MADURANTAKAM   ,7
MORADABAD      ,196
MULVAD         ,2
JUNNOR DEO     ,5
BHIRA KHERI    ,2
VARANASI JN    ,201
HAMIRA         ,2
SEMARKHERI     ,2
BHIWANI CITY   ,2
LUCKNOW NE     ,79
BACHHRAWAN     ,27
AKALKOT ROAD   ,6
GHARAUNDA      ,8
HATHIDAH JN    ,49
ASNOTI         ,2
RAM CHAURA ROAD,7
MOKAMEH JN     ,106
SIWANI         ,1
RUKNI          ,2
KHODIYAR       ,4
ANANDAPURAM    ,6
RAJKHARSAWAN JN,20
VEMURU         ,4
KHORANA        ,4
KUDALNAGAR     ,2
HARSAULI       ,5
DABLA          ,2
ROORKEE        ,76
PARLI VAIJNATH ,26
PERALAM JN     ,6
BARRAJPUR      ,2
LUNI JN        ,48
KEOLARI        ,2
DANAPUR        ,88
KHERI SALWA    ,4
CHANDERIYA     ,16
CHANDARI       ,1
ANKLESHWAR JN  ,73
AMB  ANDAURA   ,2
SAROTRA ROAD   ,2
PATHANKOT CANTT,92
KUMEDPUR       ,32
PATRATU        ,15
CINNAMARA      ,2
DHULKOT        ,1
KHEDULI        ,2
KELVA ROAD     ,5
BHUGAON        ,2
DHULIAN GANGA  ,11
RAMANATHAPURAM ,16
RUPRA ROAD     ,18
SONAGIR        ,5
JEHANABAD      ,16
PANSAR         ,2
KYATSANDRA     ,2
BANSIPUR       ,14
KOIRIPUR       ,7
JAMUI          ,39
KAKINADA PORT  ,11
DABKA          ,4
SUKRIMANGELA   ,7
DEHU ROAD      ,8
BALANGIR       ,42
NEW MORINDA    ,4
TUMKUR         ,55
PAMPORE        ,2
RAULI          ,2
DHUTRA         ,4
MADURAI JN     ,77
TOPOKAL        ,2
HAMITONGANJ    ,2
GOREGAON ROAD  ,4
PADRAUNA       ,4
NELLORE        ,152
SIHORA ROAD    ,33
SIMULTALA      ,17
SONUA          ,10
ALIYABAD       ,1
TRIUPUNITTURA  ,14
SHADNAGAR      ,12
GALUDIH        ,4
MEERUT CANT    ,17
KAJRA          ,26
KALLURU        ,10
SRINIVASA NAGAR,1
MANGAPATNAM    ,2
RAIWALA        ,14
SIMALUGURI JN  ,29
BIYAVRA RAJGARH,26
MORDAR         ,4
GHATPRABHA     ,26
NANDALUR       ,18
KHATAULI       ,11
SIRPUR KAGAZNGR,82
ARNI ROAD      ,8
VYASNAGAR      ,4
KODERMA        ,63
SALBONI        ,12
KANTHAN JN     ,2
RUKADI         ,11
GETOR JAGATPURA,8
RANGALITING    ,2
TYAKAL         ,2
BICHIA         ,2
TYADA          ,2
NAGAUR         ,40
BAJVA          ,4
KRISHNAPURAM   ,2
MALWAN         ,1
SURATHKAL      ,18
NARASINGAPALLI ,4
NAPASAR        ,8
NANPARA JN     ,2
SUMMER HILL    ,6
DUGANPUR       ,2
BADE ARAPUR    ,2
SHOLINGHUR     ,9
PANGRI         ,2
DANTEWARA      ,2
HIMMATANA      ,2
AMBALA CANT JN ,206
GONDAL         ,16
BHUPDEOPUR     ,4
NAMRUP         ,8
VISAPUR        ,8
ARALVAYMOZHI   ,6
KANKI          ,2
MALLESWARAM    ,10
RAVINDRAKHANI  ,4
NIRAKARPUR     ,10
OBRA DAM       ,13
NAUPADA JN     ,18
CHHAN ARORIAN  ,4
DINA NAGAR     ,3
RAVTHA ROAD    ,1
BHANAPUR       ,6
JANGIPUR ROAD  ,13
KHETA SARAI    ,10
THALASSERY     ,60
YENUGONDA      ,1
KULALI         ,2
NUAGAON        ,6
ADONI          ,54
SARUPATHAR     ,12
CHUNAR         ,37
MORANHAT       ,8
TITLAGARH      ,58
MUSTABADA      ,4
MAHESANA JN    ,89
WIRUR          ,2
DALADI         ,6
GARLA          ,6
LASUR          ,26
KANIYAPURAM    ,2
HOWBADH JABLPUR,9
VITHISVARANKOL ,6
COONOOR        ,4
GOKULPUR       ,3
SONGADH        ,14
KARIMNAGAR     ,2
JALOR          ,8
SITAMARHI      ,16
HARPALPUR      ,15
UMED           ,4
CHALTHAN       ,7
JUNAGARH ROAD  ,2
GHORADONGRI    ,43
KARAGOLA ROAD  ,16
JAGADHRI WSHOP ,21
PINGLI         ,7
LALAGUDA GATE  ,3
BALICHAK       ,4
GOALDIH        ,2
KOLDA          ,5
BHADRI         ,1
LODIPUR BISHNPR,2
POKRAN         ,4
GORAUL         ,8
MAHADEOKHEDI   ,1
KAFURPUR       ,2
BISANATTAM     ,2
KAPURTHALA     ,4
VARNAMA        ,2
KHAJWANA       ,2
GURSAHAIGANJ   ,4
KOCHUVELI      ,28
SAONGA HALT    ,4
DHASA JN       ,2
BHAGAT KI KOTHI,25
LANKALAKODERU  ,2
MAJRI JN       ,15
MADHA          ,9
BHONE          ,4
PIR UMROD      ,4
BOROTI         ,2
PALEJ          ,15
SALEM TOWN     ,4
BAWANI KHERA   ,4
KIRIHRAPUR     ,4
PANKI          ,18
JEONATHPUR     ,1
PATARA         ,3
MANANWALA      ,1
SANCHI         ,10
DASHARATHPUR   ,6
VISHRAMBAG     ,1
LAKHMINIA      ,12
GORAM GHAT     ,2
SHYAMPURA      ,4
BEOHARI        ,8
GAURIBIDANUR   ,20
UNNAO JN       ,65
PIRDULESHA HALT,1
AMLA JN        ,46
BHAWANIPATNA   ,2
KODIYAR MANDIR ,4
IKLEHRA        ,3
GIDHAUR        ,21
DHAPEWARA      ,4
BHORAS BUDRUKH ,2
DONDAICHA      ,16
DUMRI JUARA    ,2
NEW KATNI JN   ,5
KOTLAKHERI     ,4
SASARAM        ,57
KULWA          ,1
DING           ,2
NAMAKKAL       ,6
CHITGIDDA      ,4
MODUKURU       ,2
LUNI RICHHA    ,3
KOTAKADRA      ,1
C BABUSAMUDRAM ,2
KADIYAM        ,8
TALGARIA       ,2
VARTEJ         ,6
BAZPUR         ,4
MALTHAN        ,2
HARISHANKER RD ,10
KANAUTA        ,2
LOHIAN KHAS JN ,6
KANGINHAL      ,2
TUPKADIH       ,2
BRAHMANPALLI   ,2
CHIKODI ROAD   ,4
BASBARI        ,2
KATAREAH       ,4
KAPAN          ,4
JABRI          ,5
PARVATIPURAM   ,32
SALAIA         ,5
MADHOSINGH     ,5
BAGHDOGRA      ,2
SURIAWAN       ,14
MURIBAHAL      ,4
TORI           ,22
BAMHRAULI      ,2
PENNADA AGRHRM ,2
ATELI          ,2
PUDUCHERRY     ,18
KISONI         ,5
RANTHAMBHORE   ,2
BADNAPUR       ,8
JMLPR SHAIKHAN ,2
TARADEVI       ,6
KAMAKHYAGURI   ,4
BHADAURA       ,12
MILAVITTAN     ,8
MAU RANIPUR    ,15
UDRAMSAR       ,2
MARPALLI       ,2
DHEKVAD        ,5
TIRUPATI       ,111
UJJAIN JN      ,108
NOADAR DHAL    ,2
TIRALDIH       ,2
NANDESARI      ,3
HABIBGANJ      ,93
MADAR          ,1
BOTAD JN       ,20
METYAL SOHAR   ,4
MUNROTURUTTU   ,4
SOMNA          ,1
HUPPUGUDA      ,2
KARNAL         ,48
GADAG JN       ,38
MILAK          ,9
KARKHELI       ,8
DHALGAON       ,11
WALAJAH ROAD JN,18
KAMRUP KHETRI  ,2
BINDKI ROAD    ,5
VELI           ,2
CHILKAHAR      ,3
MANIKGARH      ,4
GAURA          ,2
PHULERA JN     ,89
BHAN KARI      ,2
KHUTBAV        ,6
NAYUDUPETA     ,20
BHADBHUNJA     ,5
VANCHIMANIYACHI,40
RACHAGUNNERI   ,1
VELLANKANNI    ,4
BHIMAVARAM TOWN,25
KUDATINI       ,4
PURANPUR       ,5
AMBIKA KALNA   ,15
CHERUKARA      ,2
BASMAT         ,12
BANPAS         ,2
BPT STATION    ,2
BABINA         ,25
PALIA KALAN    ,2
VASAD JN       ,8
CHILIKIDARA    ,2
DELHI SHAHDARA ,34
VAKAV          ,2
SIMLA          ,10
LAKSHMIBAI NGR ,4
JAYASINGPUR    ,9
AZAMNAGAR ROAD ,14
NANDIKOOR      ,2
GHOGA          ,12
TANGUTURU      ,8
HINAUTARAMBAN  ,2
GARLADINNE     ,4
GIRWAR         ,3
SOLAN          ,6
BADHWA BARA    ,5
MADDIKERA      ,8
VASAI ROAD     ,94
BARDOLI        ,9
KURANGA        ,2
CHENNAI CENTRAL,178
BUDHLADA       ,12
KATHLEEGHAT    ,3
MEDCHAL        ,10
BAGHAULI       ,5
UDALGURI       ,4
DARRITOLA      ,4
KECKHI         ,2
PUTTUR         ,20
VANIYAMBALAM   ,2
CHANDIGARH     ,63
DHONE          ,58
MALSIAN SHAHKHT,2
DANTRA         ,2
MOHIUDDINNAGAR ,7
AKKARAIPPATTI  ,2
UNDASA MADHAWPU,4
GUDUPULLI      ,2
DILAWARNAGAR   ,4
BALANAGAR      ,2
JAMTARA        ,25
NARANJIPUR     ,6
HARIPUR        ,6
TITWA          ,4
KHARSALIYA     ,2
GANGSAR JAITU  ,12
SIHAPAR        ,1
HASANPARTI RD  ,2
WANSJALIYA     ,10
MAILARAM       ,2
MORWANI        ,3
SUDHANI        ,6
UMBARGAM ROAD  ,11
SAWALGI        ,2
ANANTNAG       ,2
PHULWARI SHARIF,14
JARANDESHWAR   ,3
SAHATWAR       ,10
BARETH         ,4
KAIALSA        ,2
BASSI          ,2
GARHARA        ,6
NRYNPUR TATWAR ,11
BASAR          ,42
PARBHANI JN    ,65
KARAD          ,34
RAIMEHATPUR    ,2
RUPAMAU        ,4
SINDKHEDA      ,10
MUGAT          ,6
ADILABAD       ,10
MALKAJGIRI     ,24
PATHARDIH JN   ,2
SURGAON BANJARI,2
NAUGACHIA      ,50
NARSIPURAM HALT,4
TAJPUR         ,3
KISHANPUR      ,2
BHITAURA       ,4
GAJSINGHPUR    ,2
DHARAMTUL      ,2
AYODHYAPATTANAM,2
WARANGAL       ,136
KINWAT         ,10
JAITHARI       ,11
ROBERTS GANJ   ,12
DAYANAND NAGAR ,2
TIRUTTANGAL    ,2
GUSKARA        ,20
HINDUPUR       ,56
RANGAPURAM     ,6
TINSUKIA JN    ,2
BONGAIGAON     ,4
KARMALI        ,18
DHAMANGAON     ,30
KAREPALLI      ,6
HOLAMBI KALAN  ,1
KESHAVGANJ     ,2
BAHAWAL BASI   ,1
CHAMPA         ,48
MORI BERA      ,4
SANGANER       ,4
GUDMA          ,2
BHOKE          ,4
LUCKNOW CITY   ,16
KURUKSHETRA JN ,49
SITAPUR CITY   ,4
GHUM           ,12
KARAK BEL      ,2
HALDWANI       ,16
LEDO           ,2
TETULMARI      ,4
IB             ,4
MADAR JN       ,4
GARHWA         ,12
OKHA           ,30
BANBASA        ,2
SHRI MAHABIRJI ,24
MANDUADIH      ,25
CHAJAWA        ,3
UGWE           ,4
BARLAI         ,4
RAMGARHWA      ,4
YEDAMANGALA    ,3
BIDHAN NAGAR   ,13
SHAJAPUR       ,24
GHATERA        ,3
SRIRANGAM      ,27
BHALULATA      ,4
WARDHA JN      ,72
AZAMGARH       ,26
BHAWANI MANDI  ,40
CHOUPALE       ,2
ZAHIRABAD      ,16
JOGI MAGRA     ,4
TRIVANDRUM PETT,18
SHUJAATPUR     ,4
CHHULHA        ,8
BIKKAVOLU      ,5
KOTA JN        ,162
NAGESHWADI HALT,1
MANOPAD        ,1
DHANAKYA       ,3
NEW MAL JN     ,16
RADHIKAPUR     ,4
JATWARA        ,2
KHANDBAARA     ,7
RADHAKISHOREPUR,6
CHURK          ,10
NIGOHAN        ,11
MATHURAPUR     ,6
NIGAURA        ,8
BAKHLETA       ,3
SAKHI GOPAL    ,30
AWANTIPURA     ,2
LATEHAR        ,22
ALLAHABAD JN   ,197
JASWANTNAGAR   ,4
SHRI AMIRGADH  ,3
BOKARO STL CITY,56
BAREILLY CITY  ,4
KANASAR        ,4
LINGTI         ,2
BAZARSAU       ,9
TUGLAKABAD     ,19
ADRSH NGR DELHI,5
PATWARA        ,2
JAIS           ,19
DHARMAVARAM JN ,88
SANDILA        ,24
JANGAON        ,31
SARANGPUR      ,8
MADHAVNAGAR    ,1
ALWAL          ,2
KUDRA          ,18
GOVINDPUR ROAD ,5
DELHI CANTT    ,66
CHANDAULI MJHWR,7
MALANCHA       ,2
H NIZAMUDDIN   ,178
AUVANESWSAREM  ,2
BHARUCH JN     ,127
CHIPLUN        ,38
BIJNOR         ,7
SAKHOTI TANDA  ,2
TURTIPAR       ,2
BHURKUNDA      ,3
AMARGARH       ,4
VISAKHAPATNAM  ,201
RAXAUL JN      ,14
KATRA          ,4
BADSHAHPUR     ,11
BISWAN         ,2
CHANDA FORT    ,2
EKLAKHI        ,8
GORAPUR        ,2
DHANERA        ,8
DHARMABAD      ,20
BADLI          ,3
THIVIM         ,24
NEKONDA        ,13
MALDA TOWN     ,109
CHURU          ,16
POWERPET       ,6
NARAYANPET ROAD,2
BEAWAR         ,42
JITE           ,4
ASRANADA       ,4
CHATRA         ,2
RAJENDRANAGAR T,78
MUNGAOLI       ,20
CHIRGAON       ,11
SHDSPRA PADMPRA,2
CUMBUM         ,16
KUMBLA         ,8
ANGALAKUDURU   ,2
DEBAGRAM       ,6
GAHLOTA        ,3
KANKAHA        ,4
RASRA          ,14
TIRUTTANI      ,19
ZARAP          ,2
CHEKATE G PALEM,4
VIDISHA        ,63
BISHNUPUR      ,28
ULHASNAGAR     ,6
JERUWA KHERA   ,5
KARJAT         ,72
DAURALA        ,1
MANTAPAMPALLE  ,2
MAHES KHUNT    ,12
DURGADA GATE   ,2
MUDKHED        ,42
KAPILAS ROAD   ,2
KORADIH        ,5
JATH ROAD      ,2
NAYAGAON       ,6
JANUNIATNA     ,2
PADRIGANJ      ,5
MIRANPUR KATRA ,4
PALWAL         ,25
KAMLI          ,2
KHAMARGACHHI   ,2
PINGLESHWAR    ,3
PIPLOD JN      ,4
VALAPPADI G HLT,3
MALIPUR        ,19
ALIPUR DUAR    ,2
CUDDALORE PORT ,18
ARAVALI ROAD   ,6
KANHAIPUR      ,4
TAKARKHEDE     ,4
BELPAHAR       ,12
BELSONDA       ,2
AMMANABROLU    ,8
MAHESHMUNDA    ,4
BANGALORE CY JN,117
SURENDRANAGAR G,6
HUNSIHADGIL    ,2
PILIODA        ,2
BHIWANDI ROAD  ,32
KOPPAL         ,24
KACHNARA ROAD  ,2
BAMANWALI      ,2
SBB JOGULAMBA H,4
SAPEKHATI      ,4
MACHAVARAM     ,2
CHOPAN         ,29
BIHIYA         ,24
ALIA BADA      ,6
KUCHAMAN CITY  ,24
HATHRAS CITY   ,18
RAISI          ,4
DUBRAJPUR      ,2
BINDAYAKA      ,2
BANGALORE EAST ,24
MANDAL         ,2
PADUGUPADU     ,2
NAWANDGI       ,6
SULEHALLI      ,3
BELGAHNA       ,14
AJMER JN       ,125
PODANUR JN     ,60
GOTHANGAM      ,4
KASGANJ        ,20
BAGDIHI        ,12
MADDUR         ,19
BURNPUR        ,17
NEW COOCH BEHAR,74
KALKA          ,27
RAJANAGAR      ,8
ALIGARH JN     ,75
NEW ALIPURDUAR ,62
NAGALAPALLE    ,4
UMRA NALA      ,6
KAMALPURGRAM   ,4
WHITEFIELD     ,11
HAIDARNAGAR    ,10
ICHCHPURAM     ,27
SHALIMAR       ,26
RAMBHA         ,4
KOZHIKODE      ,92
JATKANHAR      ,2
LEKODA         ,2
HABAIPUR       ,2
BABUPETH       ,2
RANALA         ,4
ANAPARTI       ,24
AKBARPUR       ,39
BODHADI BUJRUG ,2
RAMGANGA       ,2
KIM            ,16
BALHARSHAH     ,116
SAHIBABAD      ,25
SILAK JHORI    ,2
IDGAH AGRA JN  ,20
JHALWARA       ,5
JAYNAGAR       ,16
MANGALORE JN   ,59
AISHBAGH       ,5
SOGRA          ,4
PARADOL        ,9
HARINAGAR      ,10
VADODARA JN    ,298
MOLAKALMURU    ,4
RAMPUR DUMRA   ,8
NARANPUR       ,2
RAIGANJ        ,4
BABUGARH       ,1
LADPURA        ,2
BHANDARIDAH    ,4
TATANAGAR JN   ,96
CHAMARAJANAGAR ,2
SANOSRA        ,6
CHAGALLU       ,4
VILLIANUR      ,2
JALSU NANAK    ,2
KODAVALURU     ,2
KOTTUR HALT    ,1
LOISINGHA      ,5
REWA           ,18
BRAJRAJNAGAR   ,20
AHMADNAGAR     ,58
DABRA          ,35
KARANJGAON     ,5
SECUNDERABAD JN,170
GOILKERA       ,13
HIJILLI        ,28
SULLURUPETA    ,33
CHAUSA         ,14
HULKOTI        ,4
SONSHELU       ,6
PRAYAG         ,27
NEW JALPAIGURI ,126
MALLARPUR      ,10
VELLACHERUVU   ,4
HEJJALA        ,2
BARWALA        ,2
INDARA JN      ,21
MALLANWALA KHAS,5
KANHEGAON      ,6
PARASIA        ,5
ARANG MAHANADI ,2
RATANPUR       ,8
HALVAD         ,6
DEOBAND        ,26
DHARMAPURI     ,21
SAPE WAMNE     ,4
SHEO SINGH PURA,4
JODHPUR JN     ,87
GANGAPUR CITY  ,49
SAKRIGALI JN   ,2
SARADHNA       ,2
BHUSAVAL JN    ,248
TILDA          ,31
HANSI          ,4
MAIKALGANJ     ,3
BINAIKI        ,7
HAMIRPUR ROAD  ,3
GANDHIDHAM BG  ,34
BACHWARA JN    ,15
SAGAR JAMBAGARU,6
AURANGABAD     ,50
JAM WANTHALI   ,6
DEEG           ,2
PARADGAON      ,6
SIRIPURAM      ,4
SAPHALE        ,9
BARETA         ,6
DHARWAR        ,53
JALAMB JN      ,16
BARAN          ,18
G POCHAMPALLI  ,2
BARAUNI JN     ,131
RAMGARH CANT   ,11
NIWAR          ,4
NIDI           ,2
CARMELARAM     ,8
PHAPHUND       ,24
TILAYA         ,2
PUNARAKH       ,20
KORAPUT        ,10
DALTONGANJ     ,31
MALKHAID ROAD  ,14
SANJALI        ,2
DABLI RATHAN   ,4
RAJAPUR        ,1
UPARMAL        ,2
KALUPARA GHAT  ,12
BHAIROGANJ     ,2
KULITALAI      ,6
RAMBHADDARPUR  ,4
SAMBALPUR CITY ,10
DEORIA SADAR   ,70
SAKLESHPUR     ,6
BUNDI          ,14
SRIKAKULAM ROAD,79
KISHANGANJ     ,117
GAJJELAKONDA   ,6
KODAIKANAL ROAD,27
MANJARI BUDRUK ,8
BUDALUR        ,8
PERGAON        ,6
THAWE JN       ,4
KHARIAR ROAD   ,28
BETHAMPUDI     ,4
HARAUNI        ,1
MECHEDA        ,23
BERAWANYA      ,4
GOTAN          ,33
MARARIKULAM    ,8
NARAIKKINAR    ,1
REDDIGUDEM     ,2
PIPRI DIH      ,2
WADSINGE       ,2
HALAKATTA      ,4
CHUDAWA        ,7
MALERKOTLA     ,19
MURADNAGAR     ,8
FATEHABAD CH.JN,2
BANTANAHAL     ,4
ACHALDA        ,5
BADLA GHAT     ,4
DIVINE NAGAR   ,8
KUMARDUBI      ,14
TAHERPUR       ,4
KRISHNGR CTY JN,10
AMLAKHURD      ,4
PEDDAVADLAPUDI ,4
PHULWARTANR    ,4
DHOLA JN       ,17
CHANDIA ROAD   ,15
BAPATLA        ,46
WAN ROAD       ,4
AJANTI         ,4
CHEOKI         ,55
AHRAURA ROAD   ,3
MORAPPUR       ,14
VINDHYACHAL    ,49
GOLAGHAT       ,2
JARAIKELA      ,5
NOMODA         ,2
BHAVANAGAR PARA,8
PANDABESWAR    ,4
PIPLI          ,2
CHAKDAYALA     ,6
RADHANPUR      ,6
KISTAMSETIPALLI,6
HARIDWAR JN    ,66
NAUTANWA       ,4
SAONER JN      ,6
NIWAS ROAD     ,2
BALLI          ,2
DADAR          ,133
KHADAPA        ,2
CHAURI CHAURA  ,15
RENWAL         ,2
BASHARATGANJ   ,4
SHAHDOL        ,55
KORUKKUPET JN  ,1
AKATHUMURI     ,2
JMTRA PARASWARA,7
PANOLI         ,10
CHIPURUPALLE   ,18
SAKTI          ,18
RANJANGAON RD  ,6
DHANUVACHAPURAM,2
DHIRGANJ       ,2
ANDAL JN       ,43
JIND JN        ,37
KICHHA         ,2
AVADI          ,3
KHURDA ROAD JN ,191
NANDGAON ROAD  ,4
PALLIKONA      ,4
MUNDHEWADI     ,2
JAIRAMNAGAR    ,5
GHUNGHUTI      ,3
KAMATHE        ,4
MELMARUVATTUR  ,62
PAYANGADI      ,14
DUDHANI        ,12
INDORE JN BG   ,68
DALLI RAJHARA  ,2
KHANNA         ,31
BUDNI          ,4
DALPATPUR      ,2
JAKHALABANDHA  ,2
NAZIRGANJ      ,4
SADASHIVAPET RD,2
MALANPUR       ,3
KAVATHE MAHANKL,9
KALUNGA        ,6
KHAJAULI       ,6
GANAGAPUR ROAD ,16
SHEOPRASADNAGER,4
KATIHAR JN     ,76
CHAUTH KA BRWRA,10
KIRLOSKARVADI  ,11
JHINJHAK       ,17
CHETTINAD      ,6
GOLA GOKARANATH,3
ALNIYA         ,1
KHAT           ,2
CHAVALKHEDE    ,4
MALLAPUR       ,4
KATNI          ,139
KESINGA        ,42
JALPAIGURI ROAD,17
MANCHIRYAL     ,50
JAMIKUNTA      ,15
SAVANUR        ,2
KADAKAVUR      ,16
MURDESHWAR     ,14
SRUNGAVRUKSHAM ,2
KASIMKOTA      ,2
BADSHAHNAGAR   ,44
DAPODI         ,3
SARAGCHNI      ,4
MALKAPUR       ,56
WADI           ,68
PALLIYADI      ,3
SAKRI JN       ,16
FARIDABAD NW TN,3
SANAND         ,9
SOJAT ROAD     ,14
SANGRUR        ,27
GODHRA JN      ,56
GUJHANDI       ,5
BHATTU         ,2
KAHET          ,5
ABHAIPUR       ,53
DEVGARH MADRIYA,2
JUJUMURA       ,2
SAFDARGANJ     ,5
SARBAHARA      ,6
PHESAR         ,2
TADLA PUSAPALLI,2
PIDUGURALLA    ,26
WELLINGTON     ,4
KASU           ,4
SALAR          ,15
TANGIRIAPAL    ,2
JWALAPUR       ,13
KARTARPUR      ,16
JALNA          ,48
TELO           ,1
SONEGAON       ,2
PHULPUR        ,17
BONDAMUNDA     ,16
MORINDA        ,5
KOTAPAR ROAD   ,4
GARUDUBILLI    ,4
GHOLVAD        ,7
SUMER          ,2
PANYAM         ,6
NEW GUNTUR     ,13
KUWANTHAL      ,2
CHAMPANER RD JN,2
PARAS          ,2
GOVINDI MARWAR ,2
VIRAVALLI      ,3
BABATPUR       ,12
SAMASWARA      ,2
SITAMPET       ,3
MANGALAGIRI    ,18
HARMUTI        ,4
RAHURI         ,8
BAITARANI ROAD ,4
MATMARI        ,4
SHRIBDRYA LATHI,13
KIRATPUR SAHIB ,4
AJGAIN         ,1
VILAVADE       ,6
ISARWARA       ,3
MERAMANDOLIL   ,4
JAKHAL JN      ,39
DONGARGARH     ,42
MIYAGAM KARJAN ,20
NAHARLAGUN     ,4
JUGAUR         ,1
LAKHERI        ,20
VANGAON        ,7
BONA KALU      ,4
SISWA BAZAR    ,12
RUNNI SAIDPUR  ,6
TAKAL          ,1
